Listennummer,Partei,Stimmen,Stimmen-Prozent,Gemeinde-Nummer,Gemeinde-Name,Stimmberechtigte,Wahlzettel,Stimmbeteiligung
1,SP Frauen,5,1.2195121,336,Reisiswil,157,36,0.22929936305732485
2,SP Männer,3,0.73170733,336,Reisiswil,157,36,0.22929936305732485
3,JUSO,0,0.0,336,Reisiswil,157,36,0.22929936305732485
4,EVP,4,0.9756098,336,Reisiswil,157,36,0.22929936305732485
5,jevp,1,0.24390244,336,Reisiswil,157,36,0.22929936305732485
6,EVP E,1,0.24390244,336,Reisiswil,157,36,0.22929936305732485
7,Die Mitte,7,1.7073171,336,Reisiswil,157,36,0.22929936305732485
8,EDU,66,16.09756,336,Reisiswil,157,36,0.22929936305732485
9,SVP,228,55.609756,336,Reisiswil,157,36,0.22929936305732485
10,FDP,2,0.4878049,336,Reisiswil,157,36,0.22929936305732485
11,jll,1,0.24390244,336,Reisiswil,157,36,0.22929936305732485
12,GLP,12,2.9268293,336,Reisiswil,157,36,0.22929936305732485
13,JGLP,0,0.0,336,Reisiswil,157,36,0.22929936305732485
14,Grüne,0,0.0,336,Reisiswil,157,36,0.22929936305732485
15,JGOA,24,5.8536587,336,Reisiswil,157,36,0.22929936305732485
16,ULO,45,10.97561,336,Reisiswil,157,36,0.22929936305732485
17,DM,11,2.682927,336,Reisiswil,157,36,0.22929936305732485
1,SP Frauen,799,8.399916,337,Roggwil (BE),2931,804,0.2743091095189355
2,SP Männer,903,9.493272,337,Roggwil (BE),2931,804,0.2743091095189355
3,JUSO,132,1.3877207,337,Roggwil (BE),2931,804,0.2743091095189355
4,EVP,291,3.0592935,337,Roggwil (BE),2931,804,0.2743091095189355
5,jevp,23,0.24179983,337,Roggwil (BE),2931,804,0.2743091095189355
6,EVP E,80,0.8410429,337,Roggwil (BE),2931,804,0.2743091095189355
7,Die Mitte,1142,12.005887,337,Roggwil (BE),2931,804,0.2743091095189355
8,EDU,295,3.1013458,337,Roggwil (BE),2931,804,0.2743091095189355
9,SVP,2546,26.76619,337,Roggwil (BE),2931,804,0.2743091095189355
10,FDP,1240,13.036164,337,Roggwil (BE),2931,804,0.2743091095189355
11,jll,134,1.4087468,337,Roggwil (BE),2931,804,0.2743091095189355
12,GLP,459,4.825484,337,Roggwil (BE),2931,804,0.2743091095189355
13,JGLP,73,0.76745164,337,Roggwil (BE),2931,804,0.2743091095189355
14,Grüne,902,9.4827585,337,Roggwil (BE),2931,804,0.2743091095189355
15,JGOA,316,3.3221192,337,Roggwil (BE),2931,804,0.2743091095189355
16,ULO,76,0.7989908,337,Roggwil (BE),2931,804,0.2743091095189355
17,DM,101,1.0618166,337,Roggwil (BE),2931,804,0.2743091095189355
1,SP Frauen,185,5.3206787,338,Rohrbach,1303,294,0.2256331542594014
2,SP Männer,246,7.0750647,338,Rohrbach,1303,294,0.2256331542594014
3,JUSO,41,1.1791774,338,Rohrbach,1303,294,0.2256331542594014
4,EVP,333,9.577222,338,Rohrbach,1303,294,0.2256331542594014
5,jevp,46,1.3229796,338,Rohrbach,1303,294,0.2256331542594014
6,EVP E,58,1.6681048,338,Rohrbach,1303,294,0.2256331542594014
7,Die Mitte,188,5.40696,338,Rohrbach,1303,294,0.2256331542594014
8,EDU,357,10.267472,338,Rohrbach,1303,294,0.2256331542594014
9,SVP,1299,37.35979,338,Rohrbach,1303,294,0.2256331542594014
10,FDP,195,5.608283,338,Rohrbach,1303,294,0.2256331542594014
